General Imports|Monthly data for 2025,,,,,,,,,,,,,,,,
Data Row Count,10946,,,,,,,,,,,,,,,
Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
General CIF Imports Value,02072540,"Turkeys, not cut in pieces, valued 88 cents or more per kg, frozen",2025,Value for: kilograms,0.00,36748.00,331930.00,249085.00,577378.00,694477.00,506755.00,857498.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02072600,"Cuts and offal of turkeys, fresh or chilled",2025,Value for: kilograms,639852.00,333721.00,285357.00,178228.00,189064.00,205076.00,480598.00,550483.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02072700,"Cuts and offal of turkeys, frozen",2025,Value for: kilograms,1968585.00,1710540.00,2085088.00,1852942.00,2208781.00,3531659.00,2720494.00,2456688.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02074200,"Ducks, not cut in pieces, frozen",2025,Value for: kilograms,248235.00,323898.00,338746.00,183253.00,368572.00,313983.00,227651.00,244296.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02074400,"Cuts and offal, other than fatty livers, of ducks, fresh or chilled",2025,Value for: kilograms,0.00,0.00,0.00,0.00,8530.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02074500,"Cuts and offal of ducks, frozen",2025,Value for: kilograms,311034.00,567930.00,380271.00,275809.00,330069.00,372530.00,453727.00,487323.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02081000,"Meat and edible meat offal of rabbits or hares, fresh, chilled or frozen",2025,Value for: kilograms,249523.00,416115.00,340355.00,193565.00,366337.00,559499.00,270758.00,493208.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02085000,"Meat and edible meat offal of reptiles, fresh, chilled or frozen",2025,Value for: kilograms,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55272.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02086000,"Meat and edible meat offal of camels and other camelids, fresh, chilled or frozen",2025,Value for: kilograms,205571.00,0.00,0.00,218983.00,0.00,0.00,0.00,202598.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02089020,"Meat and edible offal of deer, fresh, chilled or frozen",2025,Value for: kilograms,3750614.00,3748333.00,5457445.00,5655676.00,5251427.00,2606868.00,2381069.00,2234037.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02089025,"Frog legs, fresh, chilled or frozen",2025,Value for: kilograms,243810.00,619085.00,332490.00,330980.00,246657.00,399788.00,1009817.00,670301.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02089030,"Fresh, chilled or frozen quail, eviscerated, not in pieces",2025,Value for: kilograms,0.00,426192.00,185789.00,359180.00,139007.00,267610.00,208850.00,154204.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02089091,"Other meat and edible meat offal not elsewhere specified or included, fresh, chilled or frozen",2025,Value for: kilograms,488259.00,377380.00,325398.00,326549.00,115686.00,218267.00,220155.00,516622.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02091000,"Pig fat, free of lean meat,  fresh, chilled, frozen, salted, in brine, dried or smoked",2025,Value for: kilograms,1127243.00,1542126.00,1522789.00,866235.00,1043793.00,1317703.00,1026911.00,1193737.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02099000,"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",2025,Value for: kilograms,21500.00,42819.00,0.00,0.00,0.00,0.00,0.00,8233.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02101100,"Hams, shoulders and cuts thereof with bone in, salted, in brine, dried or smoked",2025,Value for: kilograms,1617874.00,1113139.00,1612724.00,2699754.00,763046.00,3023637.00,3293027.00,1363785.00,0.00,0.00,0.00,0.00
